game_number,server_name,scores,ranking,tournament_scores,num_players,map,map_rivers_count,map_sites_count,map_mines_count,name,param1,param2,param3
19,Podnaserator2000Ai,76,0,4,4,circle.json,65,27,4,e0501010ef3f4986abc262769df5357a,4.340886758865502,2.3271023957243644,12.614259201209832
19,Podnaserator2000Ai,226,2,2,4,circle.json,65,27,4,e0501010ef3f4986abc262769df5357a,4.340886758865502,2.3271023957243644,12.614259201209832
19,Podnaserator2000Ai,261,1,3,4,circle.json,65,27,4,5cdb98ad188449b4905103b0c30c18d7,0.39496868956515385,0.14557151541087276,73.56930770238851
20,Podnaserator2000Ai,3995,3,1,4,randomMedium.json,187,97,4,76af6b68e08b4328a4bf630dfc3b6246,1.5348705861010576,4.917719941112699,31.014430188510154
20,Podnaserator2000Ai,4834,1,3,4,randomMedium.json,187,97,4,a554c8abf58f4172a0e8d9dc6d6ef821,1.651492429483346,2.0833281681013975,66.55643946494774
20,Podnaserator2000Ai,845,0,4,4,randomMedium.json,187,97,4,8e4539b3b01d403995b92d797bf32866,1.3647837437539345,4.355335745684891,26.758096779881956
20,Podnaserator2000Ai,5435,2,2,4,randomMedium.json,187,97,4,2c366d8ce2e14f71ad86079f1587ff20,4.01761895967442,3.152004500380197,29.874051100413013
21,Podnaserator2000Ai,12,1,1,2,sample.json,12,8,2,76af6b68e08b4328a4bf630dfc3b6246,1.5348705861010576,4.917719941112699,31.014430188510154
21,Podnaserator2000Ai,27,0,2,2,sample.json,12,8,2,5d45455e18be403e9830e3ae41cc771c,3.8492454638594333,1.2450527014991875,95.0430181450663
22,Podnaserator2000Ai,5,2,6,8,tube.json,386,301,5,76af6b68e08b4328a4bf630dfc3b6246,1.5348705861010576,4.917719941112699,31.014430188510154
22,Podnaserator2000Ai,347,1,7,8,tube.json,386,301,5,e0501010ef3f4986abc262769df5357a,4.340886758865502,2.3271023957243644,12.614259201209832
22,Podnaserator2000Ai,561,3,5,8,tube.json,386,301,5,5d45455e18be403e9830e3ae41cc771c,3.8492454638594333,1.2450527014991875,95.0430181450663
22,Podnaserator2000Ai,116,0,8,8,tube.json,386,301,5,d946696bf9304182833132424e52ecc3,1.697229212112955,0.7214053316327512,93.4253822996167
22,Podnaserator2000Ai,2,4,4,8,tube.json,386,301,5,76af6b68e08b4328a4bf630dfc3b6246,1.5348705861010576,4.917719941112699,31.014430188510154
22,Podnaserator2000Ai,2,5,3,8,tube.json,386,301,5,e0501010ef3f4986abc262769df5357a,4.340886758865502,2.3271023957243644,12.614259201209832
22,Podnaserator2000Ai,0,7,1,8,tube.json,386,301,5,8e4539b3b01d403995b92d797bf32866,1.3647837437539345,4.355335745684891,26.758096779881956
22,Podnaserator2000Ai,1,6,2,8,tube.json,386,301,5,76af6b68e08b4328a4bf630dfc3b6246,1.5348705861010576,4.917719941112699,31.014430188510154
23,Podnaserator2000Ai,6,0,4,4,randomSparse.json,123,86,4,76ad06042d46498ab70f4d65139e7259,2.1370217788759986,1.7181454718607103,6.545865213888124
23,Podnaserator2000Ai,5,1,3,4,randomSparse.json,123,86,4,e0501010ef3f4986abc262769df5357a,4.340886758865502,2.3271023957243644,12.614259201209832
23,Podnaserator2000Ai,1,2,2,4,randomSparse.json,123,86,4,b4af4c0b2c664c4ca2a868685150eaa7,4.219237732096522,2.002307082136113,29.768379032868886
23,Podnaserator2000Ai,0,3,1,4,randomSparse.json,123,86,4,2c366d8ce2e14f71ad86079f1587ff20,4.01761895967442,3.152004500380197,29.874051100413013
24,Podnaserator2000Ai,6,0,4,4,randomSparse.json,123,86,4,5d45455e18be403e9830e3ae41cc771c,3.8492454638594333,1.2450527014991875,95.0430181450663
24,Podnaserator2000Ai,5,1,3,4,randomSparse.json,123,86,4,e0501010ef3f4986abc262769df5357a,4.340886758865502,2.3271023957243644,12.614259201209832
24,Podnaserator2000Ai,1,2,2,4,randomSparse.json,123,86,4,a554c8abf58f4172a0e8d9dc6d6ef821,1.651492429483346,2.0833281681013975,66.55643946494774
24,Podnaserator2000Ai,0,3,1,4,randomSparse.json,123,86,4,d946696bf9304182833132424e52ecc3,1.697229212112955,0.7214053316327512,93.4253822996167
25,Podnaserator2000Ai,122,0,4,4,lambda.json,60,38,4,2c366d8ce2e14f71ad86079f1587ff20,4.01761895967442,3.152004500380197,29.874051100413013
25,Podnaserator2000Ai,7,3,1,4,lambda.json,60,38,4,76ad06042d46498ab70f4d65139e7259,2.1370217788759986,1.7181454718607103,6.545865213888124
25,Podnaserator2000Ai,11,2,2,4,lambda.json,60,38,4,d946696bf9304182833132424e52ecc3,1.697229212112955,0.7214053316327512,93.4253822996167
25,Podnaserator2000Ai,91,1,3,4,lambda.json,60,38,4,a554c8abf58f4172a0e8d9dc6d6ef821,1.651492429483346,2.0833281681013975,66.55643946494774
26,Podnaserator2000Ai,4,1,3,4,randomMedium.json,187,97,4,5cdb98ad188449b4905103b0c30c18d7,0.39496868956515385,0.14557151541087276,73.56930770238851
26,Podnaserator2000Ai,27,0,4,4,randomMedium.json,187,97,4,d946696bf9304182833132424e52ecc3,1.697229212112955,0.7214053316327512,93.4253822996167
26,Podnaserator2000Ai,2,2,2,4,randomMedium.json,187,97,4,5cdb98ad188449b4905103b0c30c18d7,0.39496868956515385,0.14557151541087276,73.56930770238851
26,Podnaserator2000Ai,0,3,1,4,randomMedium.json,187,97,4,d946696bf9304182833132424e52ecc3,1.697229212112955,0.7214053316327512,93.4253822996167
27,Podnaserator2000Ai,30,0,2,2,sample.json,12,8,2,e0501010ef3f4986abc262769df5357a,4.340886758865502,2.3271023957243644,12.614259201209832
27,Podnaserator2000Ai,30,1,1,2,sample.json,12,8,2,76af6b68e08b4328a4bf630dfc3b6246,1.5348705861010576,4.917719941112699,31.014430188510154
28,Podnaserator2000Ai,35,1,3,4,circle.json,65,27,4,a554c8abf58f4172a0e8d9dc6d6ef821,1.651492429483346,2.0833281681013975,66.55643946494774
28,Podnaserator2000Ai,99,3,1,4,circle.json,65,27,4,5cdb98ad188449b4905103b0c30c18d7,0.39496868956515385,0.14557151541087276,73.56930770238851
28,Podnaserator2000Ai,12,0,4,4,circle.json,65,27,4,e0501010ef3f4986abc262769df5357a,4.340886758865502,2.3271023957243644,12.614259201209832
28,Podnaserator2000Ai,66,2,2,4,circle.json,65,27,4,8e4539b3b01d403995b92d797bf32866,1.3647837437539345,4.355335745684891,26.758096779881956
29,Podnaserator2000Ai,30,0,2,2,sample.json,12,8,2,2c366d8ce2e14f71ad86079f1587ff20,4.01761895967442,3.152004500380197,29.874051100413013
29,Podnaserator2000Ai,30,1,1,2,sample.json,12,8,2,a554c8abf58f4172a0e8d9dc6d6ef821,1.651492429483346,2.0833281681013975,66.55643946494774
30,Podnaserator2000Ai,217,2,2,4,circle.json,65,27,4,b4af4c0b2c664c4ca2a868685150eaa7,4.219237732096522,2.002307082136113,29.768379032868886
30,Podnaserator2000Ai,36,0,4,4,circle.json,65,27,4,d946696bf9304182833132424e52ecc3,1.697229212112955,0.7214053316327512,93.4253822996167
30,Podnaserator2000Ai,315,3,1,4,circle.json,65,27,4,b4af4c0b2c664c4ca2a868685150eaa7,4.219237732096522,2.002307082136113,29.768379032868886
30,Podnaserator2000Ai,155,1,3,4,circle.json,65,27,4,b4af4c0b2c664c4ca2a868685150eaa7,4.219237732096522,2.002307082136113,29.768379032868886
31,Podnaserator2000Ai,78,3,1,4,circle.json,65,27,4,d946696bf9304182833132424e52ecc3,1.697229212112955,0.7214053316327512,93.4253822996167
31,Podnaserator2000Ai,113,2,2,4,circle.json,65,27,4,76ad06042d46498ab70f4d65139e7259,2.1370217788759986,1.7181454718607103,6.545865213888124
31,Podnaserator2000Ai,170,1,3,4,circle.json,65,27,4,5d45455e18be403e9830e3ae41cc771c,3.8492454638594333,1.2450527014991875,95.0430181450663
31,Podnaserator2000Ai,252,0,4,4,circle.json,65,27,4,76af6b68e08b4328a4bf630dfc3b6246,1.5348705861010576,4.917719941112699,31.014430188510154
32,Podnaserator2000Ai,27,0,2,2,sample.json,12,8,2,5cdb98ad188449b4905103b0c30c18d7,0.39496868956515385,0.14557151541087276,73.56930770238851
32,Podnaserator2000Ai,11,1,1,2,sample.json,12,8,2,5d45455e18be403e9830e3ae41cc771c,3.8492454638594333,1.2450527014991875,95.0430181450663
33,Podnaserator2000Ai,143,0,3,3,Sierpinski-triangle.json,81,42,3,76ad06042d46498ab70f4d65139e7259,2.1370217788759986,1.7181454718607103,6.545865213888124
33,Podnaserator2000Ai,62,1,2,3,Sierpinski-triangle.json,81,42,3,e0501010ef3f4986abc262769df5357a,4.340886758865502,2.3271023957243644,12.614259201209832
33,Podnaserator2000Ai,60,2,1,3,Sierpinski-triangle.json,81,42,3,76af6b68e08b4328a4bf630dfc3b6246,1.5348705861010576,4.917719941112699,31.014430188510154
34,Podnaserator2000Ai,10,0,4,4,lambda.json,60,38,4,e0501010ef3f4986abc262769df5357a,4.340886758865502,2.3271023957243644,12.614259201209832
34,Podnaserator2000Ai,0,2,2,4,lambda.json,60,38,4,5cdb98ad188449b4905103b0c30c18d7,0.39496868956515385,0.14557151541087276,73.56930770238851
