game_number,server_name,scores,ranking,tournament_scores,num_players,map,map_rivers_count,map_sites_count,map_mines_count,name,param1,param2,param3,param4
0,UberAi,7306,0,8,8,tube.json,386,301,5,7901532b6d3a44f58591c8fd936f0f20,0.8137949340567439,0.5101220958709811,0.36863986258875936,0.06629064549806774
0,UberAi,1109,3,5,8,tube.json,386,301,5,f7d349e738c140338a63e45dae531884,0.7917394217928531,0.05781142327324029,0.8195880332161609,0.10434084110857911
0,UberAi,5487,2,6,8,tube.json,386,301,5,435f671554fb4c1d886032d57f2f0dfe,0.37310333329422096,0.7306853233628844,0.7298559014174076,0.4490481775690526
0,UberAi,5559,4,4,8,tube.json,386,301,5,f7d349e738c140338a63e45dae531884,0.7917394217928531,0.05781142327324029,0.8195880332161609,0.10434084110857911
0,UberAi,3872,5,3,8,tube.json,386,301,5,1f5f862af3474c69a4ee9508172c1951,0.06015814500756922,0.6398485103205623,0.9676629212169576,0.17738266539471748
0,UberAi,3697,6,2,8,tube.json,386,301,5,891059acf3d44dfda569e9e47d96641c,0.7355179170601728,0.1874595476520703,0.9932062440947008,0.7212946521450874
0,UberAi,3233,7,1,8,tube.json,386,301,5,e69baa8c75ad49dfb2c592c54f7b6884,0.26616519972644914,0.49920912198073675,0.20570342339913383,0.3332006504968721
0,UberAi,1547,1,7,8,tube.json,386,301,5,9412f838a012460c8309d3e152edf861,0.008743671654964258,0.8862524472053822,0.7245013445560068,0.6386432266268599
1,UberAi,7947,7,1,8,tube.json,386,301,5,e69baa8c75ad49dfb2c592c54f7b6884,0.26616519972644914,0.49920912198073675,0.20570342339913383,0.3332006504968721
1,UberAi,7886,0,8,8,tube.json,386,301,5,891059acf3d44dfda569e9e47d96641c,0.7355179170601728,0.1874595476520703,0.9932062440947008,0.7212946521450874
1,UberAi,2276,1,7,8,tube.json,386,301,5,9412f838a012460c8309d3e152edf861,0.008743671654964258,0.8862524472053822,0.7245013445560068,0.6386432266268599
1,UberAi,2756,5,3,8,tube.json,386,301,5,f7d349e738c140338a63e45dae531884,0.7917394217928531,0.05781142327324029,0.8195880332161609,0.10434084110857911
1,UberAi,1650,3,5,8,tube.json,386,301,5,891059acf3d44dfda569e9e47d96641c,0.7355179170601728,0.1874595476520703,0.9932062440947008,0.7212946521450874
1,UberAi,3097,6,2,8,tube.json,386,301,5,f4c00e5a674e4bcea24e1bc747dfe5e0,0.8077834722534925,0.2311616466715073,0.15864520193148612,0.5443586779359575
1,UberAi,2596,2,6,8,tube.json,386,301,5,f4c00e5a674e4bcea24e1bc747dfe5e0,0.8077834722534925,0.2311616466715073,0.15864520193148612,0.5443586779359575
1,UberAi,12067,4,4,8,tube.json,386,301,5,7901532b6d3a44f58591c8fd936f0f20,0.8137949340567439,0.5101220958709811,0.36863986258875936,0.06629064549806774
2,UberAi,371,0,4,4,circle.json,65,27,4,435f671554fb4c1d886032d57f2f0dfe,0.37310333329422096,0.7306853233628844,0.7298559014174076,0.4490481775690526
2,UberAi,236,1,3,4,circle.json,65,27,4,891059acf3d44dfda569e9e47d96641c,0.7355179170601728,0.1874595476520703,0.9932062440947008,0.7212946521450874
2,UberAi,111,2,2,4,circle.json,65,27,4,9412f838a012460c8309d3e152edf861,0.008743671654964258,0.8862524472053822,0.7245013445560068,0.6386432266268599
2,UberAi,85,3,1,4,circle.json,65,27,4,e69baa8c75ad49dfb2c592c54f7b6884,0.26616519972644914,0.49920912198073675,0.20570342339913383,0.3332006504968721
4,UberAi,635,0,4,4,lambda.json,60,38,4,9412f838a012460c8309d3e152edf861,0.008743671654964258,0.8862524472053822,0.7245013445560068,0.6386432266268599
4,UberAi,494,1,3,4,lambda.json,60,38,4,e69baa8c75ad49dfb2c592c54f7b6884,0.26616519972644914,0.49920912198073675,0.20570342339913383,0.3332006504968721
4,UberAi,276,2,2,4,lambda.json,60,38,4,9412f838a012460c8309d3e152edf861,0.008743671654964258,0.8862524472053822,0.7245013445560068,0.6386432266268599
4,UberAi,244,3,1,4,lambda.json,60,38,4,4619a3e702694d83be955cce0c35d6e2,0.6634186259539822,0.5146011477428268,0.9790363163621182,0.7974503978987091
5,UberAi,3320,1,7,8,tube.json,386,301,5,f4c00e5a674e4bcea24e1bc747dfe5e0,0.8077834722534925,0.2311616466715073,0.15864520193148612,0.5443586779359575
5,UberAi,5659,3,5,8,tube.json,386,301,5,96734a510d1d495ca48d7ae0fc9b0e0d,0.2740022556259928,0.5928846398037566,0.7078135907243868,0.9628948766013017
5,UberAi,179,4,4,8,tube.json,386,301,5,f7d349e738c140338a63e45dae531884,0.7917394217928531,0.05781142327324029,0.8195880332161609,0.10434084110857911
5,UberAi,5219,6,2,8,tube.json,386,301,5,96734a510d1d495ca48d7ae0fc9b0e0d,0.2740022556259928,0.5928846398037566,0.7078135907243868,0.9628948766013017
5,UberAi,3976,0,8,8,tube.json,386,301,5,f7d349e738c140338a63e45dae531884,0.7917394217928531,0.05781142327324029,0.8195880332161609,0.10434084110857911
5,UberAi,1989,7,1,8,tube.json,386,301,5,96734a510d1d495ca48d7ae0fc9b0e0d,0.2740022556259928,0.5928846398037566,0.7078135907243868,0.9628948766013017
5,UberAi,3332,5,3,8,tube.json,386,301,5,f4c00e5a674e4bcea24e1bc747dfe5e0,0.8077834722534925,0.2311616466715073,0.15864520193148612,0.5443586779359575
5,UberAi,2525,2,6,8,tube.json,386,301,5,f4c00e5a674e4bcea24e1bc747dfe5e0,0.8077834722534925,0.2311616466715073,0.15864520193148612,0.5443586779359575
6,UberAi,595,3,1,4,randomSparse.json,123,86,4,7901532b6d3a44f58591c8fd936f0f20,0.8137949340567439,0.5101220958709811,0.36863986258875936,0.06629064549806774
6,UberAi,1043,2,2,4,randomSparse.json,123,86,4,1f5f862af3474c69a4ee9508172c1951,0.06015814500756922,0.6398485103205623,0.9676629212169576,0.17738266539471748
6,UberAi,1345,1,3,4,randomSparse.json,123,86,4,1f5f862af3474c69a4ee9508172c1951,0.06015814500756922,0.6398485103205623,0.9676629212169576,0.17738266539471748
6,UberAi,4783,0,4,4,randomSparse.json,123,86,4,435f671554fb4c1d886032d57f2f0dfe,0.37310333329422096,0.7306853233628844,0.7298559014174076,0.4490481775690526
7,UberAi,5378,6,2,8,tube.json,386,301,5,1f5f862af3474c69a4ee9508172c1951,0.06015814500756922,0.6398485103205623,0.9676629212169576,0.17738266539471748
7,UberAi,3694,0,8,8,tube.json,386,301,5,4619a3e702694d83be955cce0c35d6e2,0.6634186259539822,0.5146011477428268,0.9790363163621182,0.7974503978987091
7,UberAi,3130,1,7,8,tube.json,386,301,5,1f5f862af3474c69a4ee9508172c1951,0.06015814500756922,0.6398485103205623,0.9676629212169576,0.17738266539471748
7,UberAi,1573,4,4,8,tube.json,386,301,5,7901532b6d3a44f58591c8fd936f0f20,0.8137949340567439,0.5101220958709811,0.36863986258875936,0.06629064549806774
7,UberAi,3553,7,1,8,tube.json,386,301,5,f7d349e738c140338a63e45dae531884,0.7917394217928531,0.05781142327324029,0.8195880332161609,0.10434084110857911
7,UberAi,3161,5,3,8,tube.json,386,301,5,9412f838a012460c8309d3e152edf861,0.008743671654964258,0.8862524472053822,0.7245013445560068,0.6386432266268599
7,UberAi,5637,2,6,8,tube.json,386,301,5,96734a510d1d495ca48d7ae0fc9b0e0d,0.2740022556259928,0.5928846398037566,0.7078135907243868,0.9628948766013017
7,UberAi,3332,3,5,8,tube.json,386,301,5,891059acf3d44dfda569e9e47d96641c,0.7355179170601728,0.1874595476520703,0.9932062440947008,0.7212946521450874
8,UberAi,30,0,2,2,sample.json,12,8,2,e69baa8c75ad49dfb2c592c54f7b6884,0.26616519972644914,0.49920912198073675,0.20570342339913383,0.3332006504968721
8,UberAi,30,1,1,2,sample.json,12,8,2,7901532b6d3a44f58591c8fd936f0f20,0.8137949340567439,0.5101220958709811,0.36863986258875936,0.06629064549806774
9,UberAi,27,0,2,2,sample.json,12,8,2,891059acf3d44dfda569e9e47d96641c,0.7355179170601728,0.1874595476520703,0.9932062440947008,0.7212946521450874
9,UberAi,25,1,1,2,sample.json,12,8,2,7901532b6d3a44f58591c8fd936f0f20,0.8137949340567439,0.5101220958709811,0.36863986258875936,0.06629064549806774
10,UberAi,30,0,2,2,sample.json,12,8,2,7901532b6d3a44f58591c8fd936f0f20,0.8137949340567439,0.5101220958709811,0.36863986258875936,0.06629064549806774
10,UberAi,25,1,1,2,sample.json,12,8,2,891059acf3d44dfda569e9e47d96641c,0.7355179170601728,0.1874595476520703,0.9932062440947008,0.7212946521450874
11,UberAi,27,0,2,2,sample.json,12,8,2,f4c00e5a674e4bcea24e1bc747dfe5e0,0.8077834722534925,0.2311616466715073,0.15864520193148612,0.5443586779359575
11,UberAi,22,1,1,2,sample.json,12,8,2,96734a510d1d495ca48d7ae0fc9b0e0d,0.2740022556259928,0.5928846398037566,0.7078135907243868,0.9628948766013017
12,UberAi,1438,0,3,3,Sierpinski-triangle.json,81,42,3,1f5f862af3474c69a4ee9508172c1951,0.06015814500756922,0.6398485103205623,0.9676629212169576,0.17738266539471748
12,UberAi,790,2,1,3,Sierpinski-triangle.json,81,42,3,f4c00e5a674e4bcea24e1bc747dfe5e0,0.8077834722534925,0.2311616466715073,0.15864520193148612,0.5443586779359575
12,UberAi,1111,1,2,3,Sierpinski-triangle.json,81,42,3,435f671554fb4c1d886032d57f2f0dfe,0.37310333329422096,0.7306853233628844,0.7298559014174076,0.4490481775690526
13,UberAi,3280,2,2,4,randomMedium.json,187,97,4,96734a510d1d495ca48d7ae0fc9b0e0d,0.2740022556259928,0.5928846398037566,0.7078135907243868,0.9628948766013017
13,UberAi,3947,1,3,4,randomMedium.json,187,97,4,e69baa8c75ad49dfb2c592c54f7b6884,0.26616519972644914,0.49920912198073675,0.20570342339913383,0.3332006504968721
13,UberAi,5065,3,1,4,randomMedium.json,187,97,4,435f671554fb4c1d886032d57f2f0dfe,0.37310333329422096,0.7306853233628844,0.7298559014174076,0.4490481775690526
13,UberAi,3620,0,4,4,randomMedium.json,187,97,4,7901532b6d3a44f58591c8fd936f0f20,0.8137949340567439,0.5101220958709811,0.36863986258875936,0.06629064549806774
14,UberAi,6677,0,4,4,randomMedium.json,187,97,4,e69baa8c75ad49dfb2c592c54f7b6884,0.26616519972644914,0.49920912198073675,0.20570342339913383,0.3332006504968721
14,UberAi,3371,2,2,4,randomMedium.json,187,97,4,96734a510d1d495ca48d7ae0fc9b0e0d,0.2740022556259928,0.5928846398037566,0.7078135907243868,0.9628948766013017
14,UberAi,5400,3,1,4,randomMedium.json,187,97,4,7901532b6d3a44f58591c8fd936f0f20,0.8137949340567439,0.5101220958709811,0.36863986258875936,0.06629064549806774
14,UberAi,3636,1,3,4,randomMedium.json,187,97,4,f7d349e738c140338a63e45dae531884,0.7917394217928531,0.05781142327324029,0.8195880332161609,0.10434084110857911
15,UberAi,178,3,1,4,circle.json,65,27,4,f4c00e5a674e4bcea24e1bc747dfe5e0,0.8077834722534925,0.2311616466715073,0.15864520193148612,0.5443586779359575
15,UberAi,216,2,2,4,circle.json,65,27,4,9412f838a012460c8309d3e152edf861,0.008743671654964258,0.8862524472053822,0.7245013445560068,0.6386432266268599
15,UberAi,250,1,3,4,circle.json,65,27,4,e69baa8c75ad49dfb2c592c54f7b6884,0.26616519972644914,0.49920912198073675,0.20570342339913383,0.3332006504968721
15,UberAi,263,0,4,4,circle.json,65,27,4,e69baa8c75ad49dfb2c592c54f7b6884,0.26616519972644914,0.49920912198073675,0.20570342339913383,0.3332006504968721
16,UberAi,4393,0,4,4,randomSparse.json,123,86,4,435f671554fb4c1d886032d57f2f0dfe,0.37310333329422096,0.7306853233628844,0.7298559014174076,0.4490481775690526
16,UberAi,133,3,1,4,randomSparse.json,123,86,4,e69baa8c75ad49dfb2c592c54f7b6884,0.26616519972644914,0.49920912198073675,0.20570342339913383,0.3332006504968721
16,UberAi,975,2,2,4,randomSparse.json,123,86,4,891059acf3d44dfda569e9e47d96641c,0.7355179170601728,0.1874595476520703,0.9932062440947008,0.7212946521450874
16,UberAi,1307,1,3,4,randomSparse.json,123,86,4,891059acf3d44dfda569e9e47d96641c,0.7355179170601728,0.1874595476520703,0.9932062440947008,0.7212946521450874
17,UberAi,30,0,2,2,sample.json,12,8,2,1f5f862af3474c69a4ee9508172c1951,0.06015814500756922,0.6398485103205623,0.9676629212169576,0.17738266539471748
17,UberAi,30,1,1,2,sample.json,12,8,2,7901532b6d3a44f58591c8fd936f0f20,0.8137949340567439,0.5101220958709811,0.36863986258875936,0.06629064549806774
18,UberAi,27,0,2,2,sample.json,12,8,2,f7d349e738c140338a63e45dae531884,0.7917394217928531,0.05781142327324029,0.8195880332161609,0.10434084110857911
18,UberAi,25,1,1,2,sample.json,12,8,2,7901532b6d3a44f58591c8fd936f0f20,0.8137949340567439,0.5101220958709811,0.36863986258875936,0.06629064549806774
19,UberAi,30,0,2,2,sample.json,12,8,2,96734a510d1d495ca48d7ae0fc9b0e0d,0.2740022556259928,0.5928846398037566,0.7078135907243868,0.9628948766013017
19,UberAi,30,1,1,2,sample.json,12,8,2,7901532b6d3a44f58591c8fd936f0f20,0.8137949340567439,0.5101220958709811,0.36863986258875936,0.06629064549806774
20,UberAi,27,0,2,2,sample.json,12,8,2,f7d349e738c140338a63e45dae531884,0.7917394217928531,0.05781142327324029,0.8195880332161609,0.10434084110857911
20,UberAi,25,1,1,2,sample.json,12,8,2,96734a510d1d495ca48d7ae0fc9b0e0d,0.2740022556259928,0.5928846398037566,0.7078135907243868,0.9628948766013017
22,UberAi,6801,0,4,4,randomMedium.json,187,97,4,e69baa8c75ad49dfb2c592c54f7b6884,0.26616519972644914,0.49920912198073675,0.20570342339913383,0.3332006504968721
22,UberAi,3781,3,1,4,randomMedium.json,187,97,4,96734a510d1d495ca48d7ae0fc9b0e0d,0.2740022556259928,0.5928846398037566,0.7078135907243868,0.9628948766013017
22,UberAi,3666,1,3,4,randomMedium.json,187,97,4,e69baa8c75ad49dfb2c592c54f7b6884,0.26616519972644914,0.49920912198073675,0.20570342339913383,0.3332006504968721
22,UberAi,4178,2,2,4,randomMedium.json,187,97,4,f4c00e5a674e4bcea24e1bc747dfe5e0,0.8077834722534925,0.2311616466715073,0.15864520193148612,0.5443586779359575
23,UberAi,2324,3,5,8,tube.json,386,301,5,891059acf3d44dfda569e9e47d96641c,0.7355179170601728,0.1874595476520703,0.9932062440947008,0.7212946521450874
23,UberAi,4091,2,6,8,tube.json,386,301,5,435f671554fb4c1d886032d57f2f0dfe,0.37310333329422096,0.7306853233628844,0.7298559014174076,0.4490481775690526
23,UberAi,5677,7,1,8,tube.json,386,301,5,4619a3e702694d83be955cce0c35d6e2,0.6634186259539822,0.5146011477428268,0.9790363163621182,0.7974503978987091
23,UberAi,8363,6,2,8,tube.json,386,301,5,4619a3e702694d83be955cce0c35d6e2,0.6634186259539822,0.5146011477428268,0.9790363163621182,0.7974503978987091
23,UberAi,2226,1,7,8,tube.json,386,301,5,891059acf3d44dfda569e9e47d96641c,0.7355179170601728,0.1874595476520703,0.9932062440947008,0.7212946521450874
23,UberAi,1082,0,8,8,tube.json,386,301,5,9412f838a012460c8309d3e152edf861,0.008743671654964258,0.8862524472053822,0.7245013445560068,0.6386432266268599
23,UberAi,4631,4,4,8,tube.json,386,301,5,4619a3e702694d83be955cce0c35d6e2,0.6634186259539822,0.5146011477428268,0.9790363163621182,0.7974503978987091
23,UberAi,5607,5,3,8,tube.json,386,301,5,1f5f862af3474c69a4ee9508172c1951,0.06015814500756922,0.6398485103205623,0.9676629212169576,0.17738266539471748
24,UberAi,2505,0,4,4,randomMedium.json,187,97,4,96734a510d1d495ca48d7ae0fc9b0e0d,0.2740022556259928,0.5928846398037566,0.7078135907243868,0.9628948766013017
