game_number,server_name,scores,ranking,tournament_scores,num_players,map,map_rivers_count,map_sites_count,name,Age
35,Dummy,0,1,1,2,sample.json,12,8,Age2,2.0
35,ConnectClosestMinesAi,30,0,2,2,sample.json,12,8,Age0,0.0
36,ConnectClosestMinesAi,1879,1,1,2,Sierpinski-triangle.json,81,42,Age0,0.0
36,GreedyAi,2071,0,2,2,Sierpinski-triangle.json,81,42,Age1,1.0
37,Dummy,8,1,1,2,sample.json,12,8,Age2,2.0
37,ConnectClosestMinesAi,22,0,2,2,sample.json,12,8,Age0,0.0
38,GreedyAi,27,0,2,2,sample.json,12,8,Age1,1.0
38,Dummy,22,1,1,2,sample.json,12,8,Age2,2.0
39,GreedyAi,27,0,2,2,sample.json,12,8,Age1,1.0
39,Dummy,22,1,1,2,sample.json,12,8,Age2,2.0
40,GreedyAi,2071,0,2,2,Sierpinski-triangle.json,81,42,Age1,1.0
40,ConnectClosestMinesAi,1879,1,1,2,Sierpinski-triangle.json,81,42,Age0,0.0
41,ConnectClosestMinesAi,1879,1,1,2,Sierpinski-triangle.json,81,42,Age0,0.0
41,GreedyAi,2071,0,2,2,Sierpinski-triangle.json,81,42,Age1,1.0
42,GreedyAi,2071,0,2,2,Sierpinski-triangle.json,81,42,Age1,1.0
42,ConnectClosestMinesAi,1879,1,1,2,Sierpinski-triangle.json,81,42,Age0,0.0
43,ConnectClosestMinesAi,27,0,2,2,sample.json,12,8,Age0,0.0
43,Dummy,9,1,1,2,sample.json,12,8,Age2,2.0
44,ConnectClosestMinesAi,1879,1,1,2,Sierpinski-triangle.json,81,42,Age0,0.0
44,GreedyAi,2071,0,2,2,Sierpinski-triangle.json,81,42,Age1,1.0
45,Dummy,8,0,2,2,sample.json,12,8,Age2,2.0
45,GreedyAi,8,1,1,2,sample.json,12,8,Age1,1.0
46,Dummy,0,1,1,2,Sierpinski-triangle.json,81,42,Age2,2.0
46,GreedyAi,1737,0,2,2,Sierpinski-triangle.json,81,42,Age1,1.0
47,GreedyAi,2071,0,2,2,Sierpinski-triangle.json,81,42,Age1,1.0
47,ConnectClosestMinesAi,1879,1,1,2,Sierpinski-triangle.json,81,42,Age0,0.0
48,ConnectClosestMinesAi,1879,1,1,2,Sierpinski-triangle.json,81,42,Age0,0.0
