game_number,server_name,scores,ranking,tournament_scores,num_players,map,map_rivers_count,map_sites_count,name,Age
0,MaxReachableVertexWeightAi,38263,2,14,16,gothenburg-sparse.json,2234,1175,Age0,0.0
0,MaxReachableVertexWeightAi,41341,12,4,16,gothenburg-sparse.json,2234,1175,Age0,0.0
0,ConnectClosestMinesAi,52598,1,15,16,gothenburg-sparse.json,2234,1175,Age2,2.0
0,LochKillerAi,8952,0,16,16,gothenburg-sparse.json,2234,1175,Age1,1.0
0,ConnectClosestMinesAi,22467,11,5,16,gothenburg-sparse.json,2234,1175,Age2,2.0
0,ConnectClosestMinesAi,17930,14,2,16,gothenburg-sparse.json,2234,1175,Age2,2.0
0,LochKillerAi,21847,15,1,16,gothenburg-sparse.json,2234,1175,Age1,1.0
0,LochKillerAi,3400,4,12,16,gothenburg-sparse.json,2234,1175,Age1,1.0
0,LochKillerAi,8954,6,10,16,gothenburg-sparse.json,2234,1175,Age1,1.0
0,ConnectClosestMinesAi,7554,10,6,16,gothenburg-sparse.json,2234,1175,Age2,2.0
0,ConnectClosestMinesAi,20973,5,11,16,gothenburg-sparse.json,2234,1175,Age2,2.0
0,MaxReachableVertexWeightAi,37522,8,8,16,gothenburg-sparse.json,2234,1175,Age0,0.0
0,MaxReachableVertexWeightAi,45830,3,13,16,gothenburg-sparse.json,2234,1175,Age0,0.0
0,ConnectClosestMinesAi,4114,9,7,16,gothenburg-sparse.json,2234,1175,Age2,2.0
0,MaxReachableVertexWeightAi,36561,13,3,16,gothenburg-sparse.json,2234,1175,Age0,0.0
0,MaxReachableVertexWeightAi,33308,7,9,16,gothenburg-sparse.json,2234,1175,Age0,0.0
1,LochKillerAi,22859,8,8,16,gothenburg-sparse.json,2234,1175,Age1,1.0
1,ConnectClosestMinesAi,22230,4,12,16,gothenburg-sparse.json,2234,1175,Age2,2.0
1,ConnectClosestMinesAi,29897,11,5,16,gothenburg-sparse.json,2234,1175,Age2,2.0
1,LochKillerAi,10786,7,9,16,gothenburg-sparse.json,2234,1175,Age1,1.0
1,MaxReachableVertexWeightAi,43153,5,11,16,gothenburg-sparse.json,2234,1175,Age0,0.0
1,MaxReachableVertexWeightAi,38055,10,6,16,gothenburg-sparse.json,2234,1175,Age0,0.0
1,MaxReachableVertexWeightAi,12898,13,3,16,gothenburg-sparse.json,2234,1175,Age0,0.0
1,MaxReachableVertexWeightAi,38263,9,7,16,gothenburg-sparse.json,2234,1175,Age0,0.0
1,MaxReachableVertexWeightAi,43789,2,14,16,gothenburg-sparse.json,2234,1175,Age0,0.0
1,LochKillerAi,30053,14,2,16,gothenburg-sparse.json,2234,1175,Age1,1.0
1,MaxReachableVertexWeightAi,35069,0,16,16,gothenburg-sparse.json,2234,1175,Age0,0.0
1,MaxReachableVertexWeightAi,39073,1,15,16,gothenburg-sparse.json,2234,1175,Age0,0.0
1,LochKillerAi,18247,15,1,16,gothenburg-sparse.json,2234,1175,Age1,1.0
1,MaxReachableVertexWeightAi,32261,12,4,16,gothenburg-sparse.json,2234,1175,Age0,0.0
1,ConnectClosestMinesAi,23771,6,10,16,gothenburg-sparse.json,2234,1175,Age2,2.0
1,ConnectClosestMinesAi,21379,3,13,16,gothenburg-sparse.json,2234,1175,Age2,2.0
2,MaxReachableVertexWeightAi,42898,7,9,16,gothenburg-sparse.json,2234,1175,Age0,0.0
2,LochKillerAi,8940,6,10,16,gothenburg-sparse.json,2234,1175,Age1,1.0
2,ConnectClosestMinesAi,42040,0,16,16,gothenburg-sparse.json,2234,1175,Age2,2.0
2,MaxReachableVertexWeightAi,41434,2,14,16,gothenburg-sparse.json,2234,1175,Age0,0.0
2,MaxReachableVertexWeightAi,37477,3,13,16,gothenburg-sparse.json,2234,1175,Age0,0.0
2,ConnectClosestMinesAi,23792,13,3,16,gothenburg-sparse.json,2234,1175,Age2,2.0
2,MaxReachableVertexWeightAi,47780,4,12,16,gothenburg-sparse.json,2234,1175,Age0,0.0
2,MaxReachableVertexWeightAi,48543,8,8,16,gothenburg-sparse.json,2234,1175,Age0,0.0
2,ConnectClosestMinesAi,25288,12,4,16,gothenburg-sparse.json,2234,1175,Age2,2.0
