game_number,server_name,scores,ranking,tournament_scores,num_players,map,map_rivers_count,map_sites_count,name,Age
0,ConnectClosestMinesAi,22685,11,5,16,gothenburg-sparse.json,2234,1175,Age3,3.0
0,ConnectClosestMinesAi,25263,9,7,16,gothenburg-sparse.json,2234,1175,Age3,3.0
0,LochMaxVertexWeighterKillerAi,29367,7,9,16,gothenburg-sparse.json,2234,1175,Age0,0.0
0,LochKillerAi,11048,13,3,16,gothenburg-sparse.json,2234,1175,Age2,2.0
0,MaxReachableVertexWeightAi,14747,2,14,16,gothenburg-sparse.json,2234,1175,Age1,1.0
0,MaxReachableVertexWeightAi,28434,5,11,16,gothenburg-sparse.json,2234,1175,Age1,1.0
0,LochMaxVertexWeighterKillerAi,14672,1,15,16,gothenburg-sparse.json,2234,1175,Age0,0.0
0,LochMaxVertexWeighterKillerAi,46632,0,16,16,gothenburg-sparse.json,2234,1175,Age0,0.0
0,LochKillerAi,3965,12,4,16,gothenburg-sparse.json,2234,1175,Age2,2.0
0,LochMaxVertexWeighterKillerAi,58531,14,2,16,gothenburg-sparse.json,2234,1175,Age0,0.0
0,LochKillerAi,4425,4,12,16,gothenburg-sparse.json,2234,1175,Age2,2.0
0,LochMaxVertexWeighterKillerAi,64141,6,10,16,gothenburg-sparse.json,2234,1175,Age0,0.0
0,ConnectClosestMinesAi,21284,15,1,16,gothenburg-sparse.json,2234,1175,Age3,3.0
0,MaxReachableVertexWeightAi,46133,3,13,16,gothenburg-sparse.json,2234,1175,Age1,1.0
0,ConnectClosestMinesAi,17666,10,6,16,gothenburg-sparse.json,2234,1175,Age3,3.0
0,ConnectClosestMinesAi,13832,8,8,16,gothenburg-sparse.json,2234,1175,Age3,3.0
1,LochMaxVertexWeighterKillerAi,47229,10,2,12,gothenburg-sparse.json,2234,1175,Age0,0.0
1,LochMaxVertexWeighterKillerAi,39491,6,6,12,gothenburg-sparse.json,2234,1175,Age0,0.0
1,LochMaxVertexWeighterKillerAi,46749,7,5,12,gothenburg-sparse.json,2234,1175,Age0,0.0
1,LochMaxVertexWeighterKillerAi,40377,5,7,12,gothenburg-sparse.json,2234,1175,Age0,0.0
1,MaxReachableVertexWeightAi,59568,9,3,12,gothenburg-sparse.json,2234,1175,Age1,1.0
1,ConnectClosestMinesAi,66291,4,8,12,gothenburg-sparse.json,2234,1175,Age3,3.0
1,LochMaxVertexWeighterKillerAi,72880,8,4,12,gothenburg-sparse.json,2234,1175,Age0,0.0
1,LochMaxVertexWeighterKillerAi,67403,0,12,12,gothenburg-sparse.json,2234,1175,Age0,0.0
1,LochMaxVertexWeighterKillerAi,48543,2,10,12,gothenburg-sparse.json,2234,1175,Age0,0.0
1,MaxReachableVertexWeightAi,66192,11,1,12,gothenburg-sparse.json,2234,1175,Age1,1.0
1,LochKillerAi,128460,3,9,12,gothenburg-sparse.json,2234,1175,Age2,2.0
1,LochKillerAi,46708,1,11,12,gothenburg-sparse.json,2234,1175,Age2,2.0
2,ConnectClosestMinesAi,35619,10,6,16,gothenburg-sparse.json,2234,1175,Age3,3.0
2,MaxReachableVertexWeightAi,31852,12,4,16,gothenburg-sparse.json,2234,1175,Age1,1.0
2,LochKillerAi,46679,2,14,16,gothenburg-sparse.json,2234,1175,Age2,2.0
2,LochMaxVertexWeighterKillerAi,17033,0,16,16,gothenburg-sparse.json,2234,1175,Age0,0.0
2,LochMaxVertexWeighterKillerAi,31860,13,3,16,gothenburg-sparse.json,2234,1175,Age0,0.0
2,ConnectClosestMinesAi,8213,8,8,16,gothenburg-sparse.json,2234,1175,Age3,3.0
2,LochKillerAi,5042,9,7,16,gothenburg-sparse.json,2234,1175,Age2,2.0
2,LochMaxVertexWeighterKillerAi,30024,4,12,16,gothenburg-sparse.json,2234,1175,Age0,0.0
2,ConnectClosestMinesAi,34733,1,15,16,gothenburg-sparse.json,2234,1175,Age3,3.0
2,LochMaxVertexWeighterKillerAi,33425,7,9,16,gothenburg-sparse.json,2234,1175,Age0,0.0
2,MaxReachableVertexWeightAi,63199,11,5,16,gothenburg-sparse.json,2234,1175,Age1,1.0
2,LochKillerAi,23207,15,1,16,gothenburg-sparse.json,2234,1175,Age2,2.0
2,LochMaxVertexWeighterKillerAi,53211,3,13,16,gothenburg-sparse.json,2234,1175,Age0,0.0
2,LochKillerAi,35588,14,2,16,gothenburg-sparse.json,2234,1175,Age2,2.0
2,LochKillerAi,13854,5,11,16,gothenburg-sparse.json,2234,1175,Age2,2.0
2,ConnectClosestMinesAi,17288,6,10,16,gothenburg-sparse.json,2234,1175,Age3,3.0
3,ConnectClosestMinesAi,41842,7,9,16,gothenburg-sparse.json,2234,1175,Age3,3.0
3,LochKillerAi,9456,0,16,16,gothenburg-sparse.json,2234,1175,Age2,2.0
3,ConnectClosestMinesAi,8210,11,5,16,gothenburg-sparse.json,2234,1175,Age3,3.0
3,LochMaxVertexWeighterKillerAi,33354,3,13,16,gothenburg-sparse.json,2234,1175,Age0,0.0
3,LochKillerAi,27217,10,6,16,gothenburg-sparse.json,2234,1175,Age2,2.0
3,ConnectClosestMinesAi,15520,15,1,16,gothenburg-sparse.json,2234,1175,Age3,3.0
3,ConnectClosestMinesAi,23796,13,3,16,gothenburg-sparse.json,2234,1175,Age3,3.0
3,LochKillerAi,42541,4,12,16,gothenburg-sparse.json,2234,1175,Age2,2.0
3,MaxReachableVertexWeightAi,24222,8,8,16,gothenburg-sparse.json,2234,1175,Age1,1.0
3,ConnectClosestMinesAi,17808,6,10,16,gothenburg-sparse.json,2234,1175,Age3,3.0
3,LochMaxVertexWeighterKillerAi,31565,12,4,16,gothenburg-sparse.json,2234,1175,Age0,0.0
3,LochKillerAi,39310,9,7,16,gothenburg-sparse.json,2234,1175,Age2,2.0
3,ConnectClosestMinesAi,21946,5,11,16,gothenburg-sparse.json,2234,1175,Age3,3.0
3,LochMaxVertexWeighterKillerAi,28604,1,15,16,gothenburg-sparse.json,2234,1175,Age0,0.0
3,LochKillerAi,7842,2,14,16,gothenburg-sparse.json,2234,1175,Age2,2.0
3,LochKillerAi,30134,14,2,16,gothenburg-sparse.json,2234,1175,Age2,2.0
4,MaxReachableVertexWeightAi,40942,11,1,12,gothenburg-sparse.json,2234,1175,Age1,1.0
4,LochKillerAi,57634,2,10,12,gothenburg-sparse.json,2234,1175,Age2,2.0
4,ConnectClosestMinesAi,62977,6,6,12,gothenburg-sparse.json,2234,1175,Age3,3.0
4,LochMaxVertexWeighterKillerAi,38672,1,11,12,gothenburg-sparse.json,2234,1175,Age0,0.0
4,LochKillerAi,25722,0,12,12,gothenburg-sparse.json,2234,1175,Age2,2.0
4,ConnectClosestMinesAi,6047,3,9,12,gothenburg-sparse.json,2234,1175,Age3,3.0
4,LochKillerAi,62367,7,5,12,gothenburg-sparse.json,2234,1175,Age2,2.0
4,ConnectClosestMinesAi,37775,10,2,12,gothenburg-sparse.json,2234,1175,Age3,3.0
4,MaxReachableVertexWeightAi,32712,8,4,12,gothenburg-sparse.json,2234,1175,Age1,1.0
4,ConnectClosestMinesAi,17762,4,8,12,gothenburg-sparse.json,2234,1175,Age3,3.0
4,MaxReachableVertexWeightAi,33618,9,3,12,gothenburg-sparse.json,2234,1175,Age1,1.0
4,LochKillerAi,94979,5,7,12,gothenburg-sparse.json,2234,1175,Age2,2.0
5,LochMaxVertexWeighterKillerAi,36943,7,9,16,gothenburg-sparse.json,2234,1175,Age0,0.0
5,ConnectClosestMinesAi,43180,1,15,16,gothenburg-sparse.json,2234,1175,Age3,3.0
5,LochMaxVertexWeighterKillerAi,35712,14,2,16,gothenburg-sparse.json,2234,1175,Age0,0.0
5,ConnectClosestMinesAi,31002,8,8,16,gothenburg-sparse.json,2234,1175,Age3,3.0
5,LochMaxVertexWeighterKillerAi,34389,0,16,16,gothenburg-sparse.json,2234,1175,Age0,0.0
5,LochMaxVertexWeighterKillerAi,11650,2,14,16,gothenburg-sparse.json,2234,1175,Age0,0.0
5,LochMaxVertexWeighterKillerAi,23216,4,12,16,gothenburg-sparse.json,2234,1175,Age0,0.0
5,LochMaxVertexWeighterKillerAi,55289,10,6,16,gothenburg-sparse.json,2234,1175,Age0,0.0
5,LochMaxVertexWeighterKillerAi,38008,3,13,16,gothenburg-sparse.json,2234,1175,Age0,0.0
5,ConnectClosestMinesAi,19275,11,5,16,gothenburg-sparse.json,2234,1175,Age3,3.0
5,LochMaxVertexWeighterKillerAi,33620,13,3,16,gothenburg-sparse.json,2234,1175,Age0,0.0
5,LochMaxVertexWeighterKillerAi,27390,6,10,16,gothenburg-sparse.json,2234,1175,Age0,0.0
5,LochKillerAi,9950,9,7,16,gothenburg-sparse.json,2234,1175,Age2,2.0
5,LochMaxVertexWeighterKillerAi,24357,5,11,16,gothenburg-sparse.json,2234,1175,Age0,0.0
5,MaxReachableVertexWeightAi,42210,12,4,16,gothenburg-sparse.json,2234,1175,Age1,1.0
5,LochKillerAi,9679,15,1,16,gothenburg-sparse.json,2234,1175,Age2,2.0
6,LochMaxVertexWeighterKillerAi,18350,9,7,16,gothenburg-sparse.json,2234,1175,Age0,0.0
6,ConnectClosestMinesAi,49160,1,15,16,gothenburg-sparse.json,2234,1175,Age3,3.0
6,LochMaxVertexWeighterKillerAi,36823,15,1,16,gothenburg-sparse.json,2234,1175,Age0,0.0
6,LochMaxVertexWeighterKillerAi,24065,2,14,16,gothenburg-sparse.json,2234,1175,Age0,0.0
6,ConnectClosestMinesAi,32033,4,12,16,gothenburg-sparse.json,2234,1175,Age3,3.0
6,LochMaxVertexWeighterKillerAi,20077,12,4,16,gothenburg-sparse.json,2234,1175,Age0,0.0
6,ConnectClosestMinesAi,26168,10,6,16,gothenburg-sparse.json,2234,1175,Age3,3.0
6,ConnectClosestMinesAi,25304,8,8,16,gothenburg-sparse.json,2234,1175,Age3,3.0
6,MaxReachableVertexWeightAi,26625,6,10,16,gothenburg-sparse.json,2234,1175,Age1,1.0
6,MaxReachableVertexWeightAi,52382,7,9,16,gothenburg-sparse.json,2234,1175,Age1,1.0
6,LochMaxVertexWeighterKillerAi,27419,11,5,16,gothenburg-sparse.json,2234,1175,Age0,0.0
6,LochMaxVertexWeighterKillerAi,24200,3,13,16,gothenburg-sparse.json,2234,1175,Age0,0.0
6,MaxReachableVertexWeightAi,27744,5,11,16,gothenburg-sparse.json,2234,1175,Age1,1.0
6,MaxReachableVertexWeightAi,13753,0,16,16,gothenburg-sparse.json,2234,1175,Age1,1.0
6,LochKillerAi,14523,14,2,16,gothenburg-sparse.json,2234,1175,Age2,2.0
6,MaxReachableVertexWeightAi,40092,13,3,16,gothenburg-sparse.json,2234,1175,Age1,1.0
7,LochKillerAi,65946,0,16,16,gothenburg-sparse.json,2234,1175,Age2,2.0
7,LochMaxVertexWeighterKillerAi,30445,10,6,16,gothenburg-sparse.json,2234,1175,Age0,0.0
7,LochKillerAi,59393,2,14,16,gothenburg-sparse.json,2234,1175,Age2,2.0
7,LochMaxVertexWeighterKillerAi,38792,12,4,16,gothenburg-sparse.json,2234,1175,Age0,0.0
7,LochKillerAi,15282,3,13,16,gothenburg-sparse.json,2234,1175,Age2,2.0
7,LochKillerAi,5339,15,1,16,gothenburg-sparse.json,2234,1175,Age2,2.0
7,LochKillerAi,20820,1,15,16,gothenburg-sparse.json,2234,1175,Age2,2.0
7,MaxReachableVertexWeightAi,26878,7,9,16,gothenburg-sparse.json,2234,1175,Age1,1.0
7,LochKillerAi,13394,9,7,16,gothenburg-sparse.json,2234,1175,Age2,2.0
7,ConnectClosestMinesAi,26411,11,5,16,gothenburg-sparse.json,2234,1175,Age3,3.0
